Time after synchronization (s),ADC I on secondary,ADC Q on secondary
0.000011930,136,-364
0.000011940,540,-320
0.000011950,200,140
0.000011960,332,-20
0.000011970,812,-348
0.000011980,744,-144
0.000011990,404,-328
0.000012000,216,-216
0.000012010,888,0
0.000012020,164,324
0.000012030,460,-128
0.000012040,644,-260
0.000012050,660,-220
0.000012060,616,44
0.000012070,320,-220
0.000012080,232,-520
0.000012090,1112,-588
0.000012100,636,-424
0.000012110,260,-312
0.000012120,1148,-96
0.000012130,44,352
0.000012140,284,76
0.000012150,892,260
0.000012160,232,-628
0.000012170,4,-92
0.000012180,704,-296
0.000012190,572,-480
0.000012200,504,-328
0.000012210,856,608
0.000012220,828,-28
0.000012230,644,-76
0.000012240,464,-160
0.000012250,368,-220
0.000012260,608,-356
0.000012270,972,-232
0.000012280,812,-276
0.000012290,772,-208
0.000012300,64,-332
0.000012310,204,-764
0.000012320,1020,-324
0.000012330,876,-248
0.000012340,900,-304
0.000012350,348,-692
0.000012360,532,192
0.000012370,324,-252
0.000012380,504,-352
0.000012390,44,-196
0.000012400,540,-56
0.000012410,92,-840
0.000012420,900,-556
0.000012430,636,-64
0.000012440,528,-180
0.000012450,508,-604
0.000012460,-284,-72
0.000012470,768,44
0.000012480,716,-144
0.000012490,636,-172
0.000012500,416,116
0.000012510,312,-24
0.000012520,416,-704
0.000012530,672,-16
0.000012540,588,-44
0.000012550,600,-484
0.000012560,324,-388
0.000012570,528,-44
0.000012580,620,496
0.000012590,472,92
0.000012600,256,-148
0.000012610,320,-760
0.000012620,564,228
0.000012630,176,-220
0.000012640,1084,24
0.000012650,916,-256
0.000012660,524,-196
0.000012670,104,-524
0.000012680,212,0
0.000012690,784,-60
0.000012700,96,56
0.000012710,460,252
0.000012720,456,-100
0.000012730,880,248
0.000012740,752,-340
0.000012750,668,-492
0.000012760,648,-800
0.000012770,408,-200
0.000012780,1144,-960
0.000012790,588,-56
0.000012800,820,268
0.000012810,492,364
0.000012820,652,-440
0.000012830,532,360
0.000012840,796,-208
0.000012850,532,64
0.000012860,468,-540
