Time after synchronization (s),ADC I on primary,ADC Q on primary
0.000007040,1088,1088
0.000007050,696,696
0.000007060,900,900
0.000007070,992,992
0.000007080,1016,1016
0.000007090,1100,1100
0.000007100,808,808
0.000007110,988,988
0.000007120,1124,1124
0.000007130,616,616
0.000007140,652,652
0.000007150,1060,1060
0.000007160,868,868
0.000007170,972,972
0.000007180,1308,1308
0.000007190,1028,1028
0.000007200,1020,1020
0.000007210,912,912
0.000007220,752,752
0.000007230,908,908
0.000007240,1092,1092
0.000007250,984,984
0.000007260,868,868
0.000007270,1148,1148
0.000007280,1012,1012
0.000007290,1076,1076
0.000007300,800,800
0.000007310,912,912
0.000007320,676,676
0.000007330,1108,1108
0.000007340,560,560
0.000007350,772,772
0.000007360,644,644
0.000007370,1016,1016
0.000007380,1068,1068
0.000007390,956,956
0.000007400,936,936
0.000007410,1040,1040
0.000007420,620,620
0.000007430,1064,1064
0.000007440,972,972
0.000007450,808,808
0.000007460,864,864
0.000007470,1024,1024
0.000007480,704,704
0.000007490,636,636
0.000007500,904,904
0.000007510,1068,1068
0.000007520,892,892
0.000007530,392,392
0.000007540,788,788
0.000007550,992,992
0.000007560,564,564
0.000007570,748,748
0.000007580,992,992
0.000007590,988,988
0.000007600,940,940
0.000007610,1184,1184
0.000007620,420,420
0.000007630,1064,1064
0.000007640,824,824
0.000007650,1228,1228
0.000007660,796,796
0.000007670,976,976
0.000007680,980,980
0.000007690,1116,1116
0.000007700,936,936
0.000007710,1220,1220
0.000007720,920,920
0.000007730,1132,1132
0.000007740,908,908
0.000007750,960,960
0.000007760,644,644
0.000007770,988,988
0.000007780,832,832
0.000007790,1116,1116
0.000007800,952,952
0.000007810,520,520
0.000007820,760,760
0.000007830,600,600
0.000007840,1040,1040
0.000007850,676,676
0.000007860,652,652
0.000007870,1012,1012
0.000007880,780,780
0.000007890,936,936
0.000007900,784,784
0.000007910,952,952
0.000007920,804,804
0.000007930,832,832
0.000007940,980,980
0.000007950,952,952
0.000007960,832,832
0.000007970,968,968
0.000007980,560,560
0.000007990,988,988
0.000008000,1028,1028
0.000008010,864,864
0.000008020,1272,1272
0.000008030,832,832
0.000008040,616,616
0.000008050,1160,1160
0.000008060,1096,1096
0.000008070,736,736
0.000008080,1028,1028
0.000008090,1284,1284
0.000008100,616,616
0.000008110,836,836
0.000008120,908,908
0.000008130,792,792
0.000008140,872,872
0.000008150,1048,1048
0.000008160,780,780
0.000008170,488,488
0.000008180,1064,1064
