Time after synchronization (s),ADC I on primary,ADC Q on primary
0.000007800,916,172
0.000007810,720,264
0.000007820,676,376
0.000007830,816,304
0.000007840,944,212
0.000007850,776,348
0.000007860,748,376
0.000007870,864,224
0.000007880,824,232
0.000007890,712,400
0.000007900,748,332
0.000007910,904,176
0.000007920,776,260
0.000007930,692,388
0.000007940,780,264
0.000007950,860,164
0.000007960,720,296
0.000007970,676,392
0.000007980,868,180
0.000007990,848,228
0.000008000,740,416
0.000008010,748,376
0.000008020,884,172
0.000008030,768,280
0.000008040,728,400
0.000008050,824,260
0.000008060,868,204
0.000008070,728,364
0.000008080,700,388
0.000008090,900,236
0.000008100,848,224
0.000008110,708,328
0.000008120,756,316
0.000008130,836,180
0.000008140,800,300
0.000008150,652,388
0.000008160,888,160
0.000008170,868,200
0.000008180,720,352
0.000008190,692,368
0.000008200,848,184
0.000008210,824,220
0.000008220,708,388
0.000008230,756,244
0.000008240,836,176
0.000008250,768,252
0.000008260,704,380
0.000008270,808,224
0.000008280,840,196
0.000008290,728,340
0.000008300,708,312
0.000008310,868,188
0.000008320,796,236
0.000008330,660,388
0.000008340,776,332
0.000008350,868,236
0.000008360,740,200
0.000008370,716,356
0.000008380,856,204
0.000008390,852,168
0.000008400,652,396
0.000008410,756,356
0.000008420,844,212
0.000008430,840,272
0.000008440,652,356
0.000008450,760,344
0.000008460,892,172
0.000008470,756,280
0.000008480,668,376
0.000008490,816,272
0.000008500,876,148
0.000008510,712,340
0.000008520,688,404
0.000008530,824,220
0.000008540,848,220
0.000008550,708,396
0.000008560,708,312
0.000008570,892,144
0.000008580,820,268
0.000008590,656,368
0.000008600,796,272
0.000008610,892,148
0.000008620,788,336
0.000008630,700,436
0.000008640,836,264
0.000008650,880,228
0.000008660,760,364
0.000008670,732,388
0.000008680,852,228
0.000008690,848,236
0.000008700,704,376
0.000008710,776,384
0.000008720,888,232
0.000008730,772,308
0.000008740,688,464
0.000008750,768,296
0.000008760,924,152
0.000008770,676,320
0.000008780,652,412
0.000008790,932,244
0.000008800,912,168
0.000008810,688,348
0.000008820,740,344
0.000008830,896,176
0.000008840,880,204
0.000008850,712,412
0.000008860,680,352
0.000008870,956,144
0.000008880,812,240
